日期,经度,纬度,车辆运行模式,制动踏板位置,加速踏板位置,档位,钥匙状态,驾驶模式,车速,电机状态,电机转矩,电机转速,电机控制器电流,电机控制器电压,电机温度,电机控制器温度,总电流,总电压,绝缘阻值,剩余电量,电池最高单体电压,电池最低单体电压,总行驶里程
2019/1/1 15:14:24,0,0,初始化,未踩,0%,P,ON,正常模式,0km/h,低压自检通过,0Nm,0rpm,-1A,3V,1℃,5℃,0A,2.9V,3000kOhm,54%,3739mV,3734mV,10293.09km
2019/1/1 15:14:26,0,0,初始化,未踩,0%,P,ON,正常模式,0km/h,低压自检通过,0Nm,0rpm,-1A,6V,1℃,5℃,0A,3.7V,3000kOhm,54%,3739mV,3734mV,10293.09km
2019/1/1 15:14:26,0,0,初始化,未踩,0%,P,ON,正常模式,0km/h,低压自检通过,0Nm,0rpm,-1A,6V,1℃,5℃,0A,3.7V,3000kOhm,54%,3739mV,3734mV,10293.09km
2019/1/1 15:14:26,0,0,初始化,未踩,0%,P,ON,正常模式,0km/h,低压自检通过,0Nm,0rpm,-1A,6V,1℃,5℃,0A,3.7V,3000kOhm,54%,3739mV,3734mV,10293.09km
2019/1/1 15:14:28,0,0,初始化,未踩,0%,P,ON,正常模式,0km/h,低压自检通过,0Nm,0rpm,-1A,8V,1℃,5℃,0A,4.6V,3000kOhm,54%,3739mV,3734mV,10293.09km
2019/1/1 15:14:30,0,0,初始化,未踩,0%,P,ON,正常模式,0km/h,低压自检通过,0Nm,0rpm,-1A,9V,1℃,5℃,0A,0V,3000kOhm,54%,3739mV,3734mV,10293.09km
2019/1/1 15:14:32,0,0,初始化,未踩,0%,P,ON,正常模式,0km/h,低压自检通过,0Nm,0rpm,-1A,10V,0℃,5℃,0A,4.6V,3000kOhm,54%,3739mV,3734mV,10293.09km
2019/1/1 15:14:34,0,0,初始化,未踩,0%,P,ON,正常模式,0km/h,低压自检通过,0Nm,0rpm,-1A,10V,1℃,5℃,0A,4.8V,3000kOhm,54%,3739mV,3734mV,10293.09km
2019/1/1 15:14:36,0,0,初始化,未踩,0%,P,ON,正常模式,0km/h,低压自检通过,0Nm,0rpm,-1A,10V,0℃,5℃,0A,4.7V,3000kOhm,54%,3739mV,3734mV,10293.09km
2019/1/1 15:14:38,0,0,初始化,未踩,0%,P,ON,正常模式,0km/h,低压自检通过,0Nm,0rpm,-1A,10V,1℃,5℃,0A,4.6V,3000kOhm,54%,3739mV,3734mV,10293.09km
2019/1/1 15:14:40,0,0,行驶,踩下,0%,D,ON,正常模式,0km/h,准备完毕,0Nm,0rpm,-1A,116V,1℃,5℃,6.6A,115.3V,3000kOhm,54%,3739mV,3732mV,10293.09km
2019/1/1 15:14:42,0,0,行驶,未踩,29%,D,ON,正常模式,3.640625km/h,准备完毕,54Nm,296rpm,35A,115V,0℃,5℃,31.7A,114.4V,3000kOhm,54%,3735mV,3698mV,10293.09km
2019/1/1 15:14:44,0,0,行驶,未踩,34%,D,ON,正常模式,12.46875km/h,准备完毕,54Nm,929rpm,66A,113V,0℃,5℃,61.9A,113.1V,3000kOhm,54%,3684mV,3674mV,10293.09km
2019/1/1 15:14:46,0,0,行驶,未踩,0%,D,ON,正常模式,14.6875km/h,准备完毕,-5Nm,1055rpm,-4A,116V,0℃,6℃,4.1A,115.3V,3000kOhm,54%,3714mV,3681mV,10293.09km
2019/1/1 15:14:47,0,0,行驶,未踩,0%,D,ON,正常模式,9.765625km/h,准备完毕,0Nm,698rpm,0A,116V,1℃,6℃,9.5A,115.1V,3000kOhm,54%,3724mV,3717mV,10293.09km
2019/1/1 15:14:49,0,0,行驶,未踩,20%,D,ON,正常模式,9.359375km/h,准备完毕,20Nm,689rpm,16A,115V,1℃,6℃,22.9A,114.6V,3000kOhm,54%,3724mV,3714mV,10293.09km
2019/1/1 15:14:51,0,0,行驶,未踩,14%,D,ON,正常模式,10.65625km/h,准备完毕,9Nm,773rpm,8A,115V,1℃,7℃,17A,114.8V,3000kOhm,54%,3720mV,3699mV,10293.09km
2019/1/1 15:14:53,0,0,行驶,踩下,0%,D,ON,正常模式,9.375km/h,准备完毕,0Nm,670rpm,0A,116V,1℃,7℃,10.5A,115V,2999kOhm,54%,3713mV,3708mV,10293.09km
2019/1/1 15:14:55,0,0,行驶,踩下,0%,D,ON,正常模式,3.765625km/h,准备完毕,0Nm,265rpm,0A,115V,1℃,7℃,11.8A,115V,3000kOhm,54%,3716mV,3708mV,10293.09km
2019/1/1 15:14:57,0,0,行驶,踩下,0%,D,ON,正常模式,1.109375km/h,准备完毕,0Nm,76rpm,0A,115V,2℃,7℃,12A,115V,3000kOhm,54%,3720mV,3715mV,10293.09km
2019/1/1 15:14:59,0,0,行驶,未踩,17%,D,ON,正常模式,2.03125km/h,准备完毕,22Nm,160rpm,9A,115V,2℃,6℃,16.1A,114.8V,3000kOhm,54%,3720mV,3712mV,10293.09km
2019/1/1 15:14:59,0,0,行驶,未踩,0%,D,ON,正常模式,0.296875km/h,准备完毕,0Nm,23rpm,0A,115V,1℃,6℃,11.2A,115V,3000kOhm,54%,3720mV,3712mV,10293.09km
